dayTime;wiseUSD
2024-07-17 11:00:00.000;5,45869
2024-07-17 17:00:00.000;5,48646
2024-07-17 23:00:00.000;5,48989
2024-07-18 11:00:00.000;5,49209
2024-07-18 17:00:00.000;5,58875
2024-07-18 23:00:00.000;5,54471
2024-07-19 11:00:00.000;5,5445
2024-07-19 17:00:00.000;5,57886
2024-07-19 23:00:00.000;5,59816
2024-07-20 11:00:00.000;5,59816
2024-07-20 17:00:00.000;5,59816
2024-07-20 23:00:00.000;5,59816
2024-07-21 11:00:00.000;5,59816
2024-07-21 11:00:00.000;5,59816
2024-07-21 17:00:00.000;5,5453
2024-07-22 23:00:00.000;5,57171
2024-07-22 11:00:00.000;5,56926
2024-07-22 17:00:00.000;5,57209
2024-07-23 23:00:00.000;5,59331
2024-07-23 11:00:00.000;5,58619
2024-07-23 17:00:00.000;5,58656
2024-07-24 23:00:00.000;5,64124
2024-07-24 11:00:00.000;5,65429
2024-07-24 17:00:00.000;5,65505
2024-07-25 23:00:00.000;5,6502
2024-07-25 11:00:00.000;5,64764
2024-07-25 11:00:00.000;5,64525
2024-07-26 17:00:00.000;5,64029
2024-07-26 23:00:00.000;5,65784
2024-07-26 11:00:00.000;5,6563
2024-07-27 17:00:00.000;5,6563
2024-07-27 23:00:00.000;5,6563
2024-07-27 11:00:00.000;5,6563
2024-07-28 17:00:00.000;5,6563
2024-07-28 23:00:00.000;5,65665
2024-07-28 11:00:00.000;5,65681
2024-07-29 17:00:00.000;5,6509
2024-07-29 23:00:00.000;5,6243
2024-07-29 11:00:00.000;5,61608
2024-07-30 17:00:00.000;5,65566
2024-07-30 23:00:00.000;5,6123
2024-07-30 11:00:00.000;5,61255
2024-07-31 11:00:00.000;5,67466
2024-07-31 17:00:00.000;5,64799
2024-07-31 23:00:00.000;5,6579
2024-08-01 11:00:00.000;5,64219
2024-08-01 17:00:00.000;5,73487
2024-08-01 23:00:00.000;5,75242
2024-08-02 11:00:00.000;5,71585
2024-08-02 17:00:00.000;5,70959
2024-08-02 23:00:00.000;5,72807
2024-08-03 11:00:00.000;5,72807
2024-08-03 11:00:00.000;5,72807
2024-08-03 17:00:00.000;5,72807
2024-08-04 23:00:00.000;5,72807
2024-08-04 11:00:00.000;5,72721
2024-08-04 17:00:00.000;5,7281
2024-08-05 23:00:00.000;5,8011
2024-08-05 11:00:00.000;5,74076
2024-08-05 17:00:00.000;5,72298
2024-08-06 23:00:00.000;5,66271
2024-08-06 11:00:00.000;5,65861
2024-08-06 17:00:00.000;5,65716
2024-08-07 23:00:00.000;5,60331
2024-08-07 11:00:00.000;5,62366
2024-08-07 11:00:00.000;5,63739
2024-08-08 17:00:00.000;5,617
2024-08-08 23:00:00.000;5,57426
2024-08-08 11:00:00.000;5,54751
2024-08-09 11:00:00.000;5,51724
2024-08-09 17:00:00.000;5,51466
2024-08-09 23:00:00.000;5,5087
2024-08-10 11:00:00.000;5,5087
2024-08-10 17:00:00.000;5,5087
2024-08-10 23:00:00.000;5,5087
2024-08-11 11:00:00.000;5,4994
2024-08-11 17:00:00.000;5,49774
2024-08-11 23:00:00.000;5,49384
2024-08-12 11:00:00.000;5,4994
2024-08-12 17:00:00.000;5,48774
2024-08-12 23:00:00.000;5,49384
2024-08-13 11:00:00.000;5,48911
2024-08-13 11:00:00.000;5,44879
2024-08-13 17:00:00.000;5,45729
2024-08-14 23:00:00.000;5,44909
2024-08-14 11:00:00.000;5,46896
2024-08-14 11:00:00.000;5,47061
2024-08-15 17:00:00.000;5,45551
2024-08-15 23:00:00.000;5,48369
2024-08-15 11:00:00.000;5,48634
2024-08-16 17:00:00.000;5,45426
2024-08-16 23:00:00.000;5,46624
2024-08-16 11:00:00.000;5,47154
2024-08-17 17:00:00.000;5,47154
2024-08-17 23:00:00.000;5,47154
2024-08-17 11:00:00.000;5,47154
2024-08-18 17:00:00.000;5,47154
2024-08-18 23:00:00.000;5,47154
2024-08-18 11:00:00.000;5,4694
2024-08-19 11:00:00.000;5,4293
2024-08-19 17:00:00.000;5,4125
2024-08-19 23:00:00.000;5,4064
2024-08-20 11:00:00.000;5,4397
2024-08-20 17:00:00.000;5,4853
2024-08-20 23:00:00.000;5,4796
2024-08-21 11:00:00.000;5,47
2024-08-21 17:00:00.000;5,4812
2024-08-21 23:00:00.000;5,4837
2024-08-22 11:00:00.000;5,5452
2024-08-22 17:00:00.000;5,5897
2024-08-22 23:00:00.000;5,5921
2024-08-23 11:00:00.000;5,5518
2024-08-23 17:00:00.000;5,4795
2024-08-23 23:00:00.000;5,48595
2024-08-24 11:00:00.000;5,48595
2024-08-24 11:00:00.000;5,48595
2024-08-24 17:00:00.000;5,48595
2024-08-25 23:00:00.000;5,48595
2024-08-25 11:00:00.000;5,48595
2024-08-25 17:00:00.000;5,48595
2024-08-26 11:00:00.000;5,4849
2024-08-26 17:00:00.000;5,4918
2024-08-26 23:00:00.000;5,4972
2024-08-27 11:00:00.000;5,4927
2024-08-27 17:00:00.000;5,5025
2024-08-27 23:00:00.000;5,5094
2024-08-28 11:00:00.000;5,5304
2024-08-28 17:00:00.000;5,55498
2024-08-28 23:00:00.000;5,5634
2024-08-29 11:00:00.000;5,6406
2024-08-29 17:00:00.000;5,6227
2024-08-29 23:00:00.000;5,6289
2024-08-30 11:00:00.000;5,6656
2024-08-30 17:00:00.000;5,6341
2024-08-30 23:00:00.000;5,60638
2024-08-31 11:00:00.000;5,60638
2024-08-31 17:00:00.000;5,60638
2024-08-31 23:00:00.000;5,60638
2024-09-01 11:00:00.000;5,60638
2024-09-01 17:00:00.000;5,60638
2024-09-01 23:00:00.000;5,61169
2024-09-02 11:00:00.000;5,65045
2024-09-02 17:00:00.000;5,62595
2024-09-02 23:00:00.000;5,61656
2024-09-03 11:00:00.000;5,62757
2024-09-03 17:00:00.000;5,64021
2024-09-03 23:00:00.000;5,64921
2024-09-04 11:00:00.000;5,63457
2024-09-04 17:00:00.000;5,6393
2024-09-04 23:00:00.000;5,6435
2024-09-05 11:00:00.000;5,60991
2024-09-05 17:00:00.000;5,5725
2024-09-05 23:00:00.000;5,5689
2024-09-06 11:00:00.000;5,56156
2024-09-06 17:00:00.000;5,58999
2024-09-06 23:00:00.000;5,59939
2024-09-07 11:00:00.000;5,59939
2024-09-07 17:00:00.000;5,59939
2024-09-07 23:00:00.000;5,59939
2024-09-08 11:00:00.000;5,59939
2024-09-08 17:00:00.000;5,59939
2024-09-08 23:00:00.000;5,59871
2024-09-09 11:00:00.000;5,61004
2024-09-09 17:00:00.000;5,58581
2024-09-09 23:00:00.000;5,58516
2024-09-10 11:00:00.000;5,61629
2024-09-10 17:00:00.000;5,65372
2024-09-10 23:00:00.000;5,66431
2024-09-11 11:00:00.000;5,64346
2024-09-11 17:00:00.000;5,65899
2024-09-11 23:00:00.000;5,66906
2024-09-12 11:00:00.000;5,65873
2024-09-12 17:00:00.000;5,61766
2024-09-12 23:00:00.000;5,62712
2024-09-13 11:00:00.000;5,57269
2024-09-13 17:00:00.000;5,5674
2024-09-13 23:00:00.000;5,5648
2024-09-14 11:00:00.000;5,5648
2024-09-14 17:00:00.000;5,5648
2024-09-14 23:00:00.000;5,5648
2024-09-13 11:00:00.000;5,5648
2024-09-13 17:00:00.000;5,5648
2024-09-13 23:00:00.000;5,5648
