,dateTime,usd
0,2024-07-17 11:00:00,5.45869
1,2024-07-17 17:00:00,5.48646
2,2024-07-17 23:00:00,5.48989
3,2024-07-18 11:00:00,5.49209
4,2024-07-18 17:00:00,5.58875
5,2024-07-18 23:00:00,5.54471
6,2024-07-19 11:00:00,5.5445
7,2024-07-19 17:00:00,5.57886
8,2024-07-19 23:00:00,5.59816
9,2024-07-20 11:00:00,5.59816
10,2024-07-20 17:00:00,5.59816
11,2024-07-20 23:00:00,5.59816
12,2024-07-21 11:00:00,5.59816
13,2024-07-21 11:00:00,5.59816
14,2024-07-21 17:00:00,5.5453
15,2024-07-22 23:00:00,5.57171
16,2024-07-22 11:00:00,5.56926
17,2024-07-22 17:00:00,5.57209
18,2024-07-23 23:00:00,5.59331
19,2024-07-23 11:00:00,5.58619
20,2024-07-23 17:00:00,5.58656
21,2024-07-24 23:00:00,5.64124
22,2024-07-24 11:00:00,5.65429
23,2024-07-24 17:00:00,5.65505
24,2024-07-25 23:00:00,5.6502
25,2024-07-25 11:00:00,5.64764
26,2024-07-25 11:00:00,5.64525
27,2024-07-26 17:00:00,5.64029
28,2024-07-26 23:00:00,5.65784
29,2024-07-26 11:00:00,5.6563
30,2024-07-27 17:00:00,5.6563
31,2024-07-27 23:00:00,5.6563
32,2024-07-27 11:00:00,5.6563
33,2024-07-28 17:00:00,5.6563
34,2024-07-28 23:00:00,5.65665
35,2024-07-28 11:00:00,5.65681
36,2024-07-29 17:00:00,5.6509
37,2024-07-29 23:00:00,5.6243
38,2024-07-29 11:00:00,5.61608
39,2024-07-30 17:00:00,5.65566
40,2024-07-30 23:00:00,5.6123
41,2024-07-30 11:00:00,5.61255
42,2024-07-31 11:00:00,5.67466
43,2024-07-31 17:00:00,5.64799
44,2024-07-31 23:00:00,5.6579
45,2024-08-01 11:00:00,5.64219
46,2024-08-01 17:00:00,5.73487
47,2024-08-01 23:00:00,5.75242
48,2024-08-02 11:00:00,5.71585
49,2024-08-02 17:00:00,5.70959
50,2024-08-02 23:00:00,5.72807
51,2024-08-03 11:00:00,5.72807
52,2024-08-03 11:00:00,5.72807
53,2024-08-03 17:00:00,5.72807
54,2024-08-04 23:00:00,5.72807
55,2024-08-04 11:00:00,5.72721
56,2024-08-04 17:00:00,5.7281
57,2024-08-05 23:00:00,5.8011
58,2024-08-05 11:00:00,5.74076
59,2024-08-05 17:00:00,5.72298
60,2024-08-06 23:00:00,5.66271
61,2024-08-06 11:00:00,5.65861
62,2024-08-06 17:00:00,5.65716
63,2024-08-07 23:00:00,5.60331
64,2024-08-07 11:00:00,5.62366
65,2024-08-07 11:00:00,5.63739
66,2024-08-08 17:00:00,5.617
67,2024-08-08 23:00:00,5.57426
68,2024-08-08 11:00:00,5.54751
69,2024-08-09 11:00:00,5.51724
70,2024-08-09 17:00:00,5.51466
71,2024-08-09 23:00:00,5.5087
72,2024-08-10 11:00:00,5.5087
73,2024-08-10 17:00:00,5.5087
74,2024-08-10 23:00:00,5.5087
75,2024-08-11 11:00:00,5.4994
76,2024-08-11 17:00:00,5.49774
77,2024-08-11 23:00:00,5.49384
78,2024-08-12 11:00:00,5.4994
79,2024-08-12 17:00:00,5.48774
80,2024-08-12 23:00:00,5.49384
81,2024-08-13 11:00:00,5.48911
82,2024-08-13 11:00:00,5.44879
83,2024-08-13 17:00:00,5.45729
84,2024-08-14 23:00:00,5.44909
85,2024-08-14 11:00:00,5.46896
86,2024-08-14 11:00:00,5.47061
87,2024-08-15 17:00:00,5.45551
88,2024-08-15 23:00:00,5.48369
